,launch,year,date,kms,points,dep,flight type,pilot name,take off,landing,dist1,dist2,dist3,dist4,route,cat,wing,speed,duration,max alt,BD,lat BD,lon BD,time BD,BA,lat BA,lon BA,time BA,sex
0,floirac,2000-2001,07/10/2000,104.0,104.0,0,Dist libre,Jean-marie MAS,Floirac,Tanus,0.0,0.0,0.0,0.0,Floirac=>Tanus,O,Bonanza,0.0,0.0,0.0,Floirac,0.0,0.0,0.0,Tanus,0.0,0.0,0.0,male
1,floirac,2000-2001,07/10/2000,104.0,104.0,0,Dist libre,Laurent VIROLES,Floirac,Tanus,0.0,0.0,0.0,0.0,Floirac=>Tanus,O,Bagheera,0.0,0.0,0.0,Floirac,0.0,0.0,0.0,Tanus,0.0,0.0,0.0,male
2,floirac,2000-2001,18/05/2001,102.0,102.0,46,Dist libre,Vincent LURDE,Floirac - Cirque de Montvalent,Blaye les Mines (81),0.0,0.0,0.0,0.0,Floirac - Cirque de Montvalent=>Blaye les Mines (81),O,Bagheera,0.0,0.0,0.0,Floirac,0.0,0.0,0.0,Blaye les Mines,0.0,0.0,0.0,male
3,floirac,2000-2001,14/06/2001,118.5,118.5,46,Dist libre,Laurent VIROLES,Floirac,Pierrefiche,0.0,0.0,0.0,0.0,Floirac=>Pierrefiche,O,Bagheera,0.0,0.0,0.0,Soult 46,0.0,0.0,0.0,Pierrefiche 12,0.0,0.0,0.0,male
4,floirac,2000-2001,28/06/2001,117.0,117.0,46,Dist libre,Philippe SAVINAUD,Floirac 46,ALBI 82,0.0,0.0,0.0,0.0,Floirac 46=>ALBI 82,C,Astral,0.0,0.0,0.0,Soult 46,0.0,0.0,0.0,Ecole des mines Albi,0.0,0.0,0.0,male
5,floirac,2000-2001,28/06/2001,50.0,50.0,46,Dist libre,Jean-marie MAS,Floirac 46,Déco Saujac,0.0,0.0,0.0,0.0,Floirac 46=>Déco Saujac,O,Bonanza,0.0,0.0,0.0,Déco soult,0.0,0.0,0.0,Déco Saujac,0.0,0.0,0.0,male
6,floirac,2000-2001,10/08/2001,125.0,125.0,46,Dist libre,Laurent VIROLES,Floirac 46,Villefranche d'Albigeois,0.0,0.0,0.0,0.0,Floirac 46=>Villefranche d'Albigeois,O,Bagheera,0.0,0.0,0.0,Déco soult,0.0,0.0,0.0,Villefranche d'Albigeois,0.0,0.0,0.0,male
7,floirac,2000-2001,10/08/2001,125.0,125.0,46,Dist libre,Marcel EXBRAYAT,Floirac 46,Villefranche d'Albigeois,0.0,0.0,0.0,0.0,Floirac 46=>Villefranche d'Albigeois,O,Bonanza,0.0,0.0,0.0,Déco soult,0.0,0.0,0.0,Villefranche d'Albigeois,0.0,0.0,0.0,male
8,floirac,2001-2002,05/09/2001,168.0,168.0,46,Dist 1 pt,Laurent VIROLES,Soult (Floirac) 46,"Intersection D45, D79 proche Revel",52.0,116.0,0.0,0.0,"Soult (Floirac) 46	=>Intersection D45, D79 proche Revel	Cahors gare sncf-	-	-",O,Bagheera,0.0,0.0,0.0,Déco soult,0.0,0.0,0.0,"Intersection D45, D79 proche Revel",0.0,0.0,0.0,male
9,floirac,2001-2002,02/09/2001,80.0,80.0,46,Dist libre,Laurent VIROLES,Soult (Floirac) 46,Caussade,0.0,0.0,0.0,0.0,Soult (Floirac) 46=>Caussade,O,Bagheera,0.0,0.0,0.0,Déco soult,0.0,0.0,0.0,Caussade,0.0,0.0,0.0,male
10,floirac,2001-2002,09/09/2001,50.0,50.0,46,Dist libre,Laurent VIROLES,Floirac 46,Déco Saujac,0.0,0.0,0.0,0.0,Floirac 46=>Déco Saujac,O,Bagheera,0.0,0.0,0.0,Soult 46,0.0,0.0,0.0,Déco Saujac,0.0,0.0,0.0,male
11,floirac,2002-2003,20/03/2003,30.0,30.0,46,Dist libre,Jean-marie MAS,Floirac 46,Sonac,0.0,0.0,0.0,0.0,Floirac 46=>Sonac,C,Spirit,0.0,0.0,0.0,Déco soult,0.0,0.0,0.0,D11 au sud de Sonac,0.0,0.0,0.0,male
12,floirac,2002-2003,14/05/2003,38.0,38.0,46,Dist libre,Jean-marie MAS,Floirac 46,Espagnac Ste Eulalie,0.0,0.0,0.0,0.0,Floirac 46=>Espagnac Ste Eulalie,C,Spirit,0.0,0.0,0.0,Déco soult,0.0,0.0,0.0,Espagnac Ste Eulalie,0.0,0.0,0.0,male
13,floirac,2002-2003,14/05/2003,102.0,102.0,46,Dist libre,Laurent VIROLES,Floirac (46),Tanus (81),0.0,0.0,0.0,0.0,Floirac (46)=>Tanus (81),O,Shaman,0.0,0.0,0.0,Floirac,0.0,0.0,0.0,Tanus,0.0,0.0,0.0,male
14,floirac,2002-2003,18/06/2003,50.0,50.0,46,Dist libre,Jean-marie MAS,Floirac 46,atterro Saujac 12,0.0,0.0,0.0,0.0,Floirac 46=>atterro Saujac 12,C,Spirit,0.0,0.0,0.0,Déco Soult 46,0.0,0.0,0.0,Déco Saujac 12,0.0,0.0,0.0,male
15,floirac,2002-2003,31/07/2003,65.0,65.0,46,Dist libre,Franck PERRIN,Mont valent - Floirac,Villefranche de Rouergue,0.0,0.0,0.0,0.0,Mont valent - Floirac=>Villefranche de Rouergue,D,Cirrus,0.0,0.0,0.0,Mont valent - Floirac,0.0,0.0,0.0,Villefranche de Rouergue,0.0,0.0,0.0,male
16,floirac,2004-2005,08/05/2005,58.0,58.0,46,Dist libre,Jean-marie MAS,Floirac,Ste Croix,58.0,0.0,0.0,0.0,Floirac=>Ste Croix,bi,Mac Daddy,0.0,0.0,1922.0,Déco Soult,0.0,0.0,0.0,Sainte Croix (Aveyron),0.0,0.0,0.0,male
17,floirac,2004-2005,08/05/2005,58.0,58.0,46,Dist libre,Didier BERGUES,Floirac,Ste Croix,58.0,0.0,0.0,0.0,Floirac=>Ste Croix,B,Vibe,0.0,0.0,0.0,Déco Soult,0.0,0.0,0.0,Sainte Croix (Aveyron),0.0,0.0,0.0,male
18,floirac,2004-2005,08/05/2005,82.7,82.7,46,Dist 1 pt,Kevin BONNENFANT,Floirac,Rieuxpeyroux (Aveyron),34.7,48.0,0.0,0.0,Floirac=>Rieuxpeyroux (Aveyron)Brengues,O,Tribute,0.0,0.0,0.0,Soult,0.0,0.0,0.0,Rieuxpeyroux,0.0,0.0,0.0,male
