,launch,year,date,kms,points,dep,flight type,pilot name,take off,landing,dist1,dist2,dist3,dist4,route,cat,wing,speed,duration,max alt,BD,lat BD,lon BD,time BD,BA,lat BA,lon BA,time BA,sex
0,maupuy,2001-2002,20/04/2002,125.0,125.0,23,Dist libre,Franck ARNAUD,Gueret - massif du Maupuy,Chateau de Rastignac - Est de Thénon,0.0,0.0,0.0,0.0,Gueret - massif du Maupuy=>Chateau de Rastignac - Est de Thénon,O,P70,0.0,0.0,0.0,Guéret - massif du Maupuy,0.0,0.0,0.0,Chateau de Rastignac - Est de Thenon,0.0,0.0,0.0,male
1,maupuy,2001-2002,18/07/2002,106.0,106.0,23,Dist libre,Franck ARNAUD,Guéret - Maupuy (23),Razac - Thiviers (24),0.0,0.0,0.0,0.0,Guéret - Maupuy (23)=>Razac - Thiviers (24),O,Trango Race,0.0,0.0,0.0,Guéret - Maupuy (23),0.0,0.0,0.0,Razac- Thiviers (24),0.0,0.0,0.0,male
2,maupuy,2002-2003,28/05/2003,87.3,87.3,23,Dist libre,Franck ARNAUD,Guéret - site du Maupuy,Rochechouart,0.0,0.0,0.0,0.0,Guéret - site du Maupuy=>Rochechouart,O,Trango Race,0.0,0.0,0.0,Site du Maupuy,0.0,0.0,0.0,Rochechouart,0.0,0.0,0.0,male
3,maupuy,2002-2003,28/05/2003,40.0,40.0,23,Dist libre,Julien DAUPHIN,Maupuy,Ambazac,0.0,0.0,0.0,0.0,Maupuy=>Ambazac,O,Shaman,0.0,0.0,0.0,Guéret,0.0,0.0,0.0,Ambazac,0.0,0.0,0.0,male
4,maupuy,2005-2006,06/06/2006,23.0,23.0,23,Dist libre,Michel EMY,maupuy nord,arrènes,23.0,0.0,0.0,0.0,maupuy nord=>arrènes,B,Allegra,0.0,0.0,0.0,maupuy nord,0.0,0.0,0.0,arrènes,0.0,0.0,0.0,male
5,maupuy,2009-2010,27/04/2010,50.6,50.6,23,Dist libre,Jacques FAURE,LE MAUPUY- Guéret,LATHONIE,50.6,0.0,0.0,0.0,LE MAUPUY- Guéret=>LATHONIE,D,Avax XC,0.0,0.0,1869.0,Déco N,0.0,0.0,0.0,Lathonie,0.0,0.0,0.0,male
6,maupuy,2009-2010,27/04/2010,69.0,69.0,23,Dist 1 pt,Jean LAFFOND,LE MAUPUY- Guéret,Carrefour D414 / D76 (S Pierre-Buffière),34.0,35.0,0.0,0.0,LE MAUPUY- Guéret=>Carrefour D414 / D76 (S Pierre-Buffière)chavanat,C,Valluna,0.0,0.0,0.0,Déco N,0.0,0.0,0.0,Carrefour D414 / D76 (S Pierre-Buffière),0.0,0.0,0.0,male
7,maupuy,2009-2010,27/04/2010,48.5,48.5,23,Dist libre,Anthony ACKET,Maupuy (guéret),Cassepierre,48.5,0.0,0.0,0.0,Maupuy (guéret)=>Cassepierre,D,Omega 7,0.0,0.0,0.0,Maupuy N,0.0,0.0,0.0,Peyol(Rilhac Rancon 87),0.0,0.0,0.0,male
8,maupuy,2010-2011,14/04/2011,64.06,64.06,23,Dist 2 pts,Pierre CHAUSSADE,LE MAUPUY,Glanges,33.59,30.1,0.44,0.0,LE MAUPUY=>GlangesSAUVIAT-Glanges,C,Ra,26.3,2.4,2023.0,ANTENNE,461651.0,183843.0,1302779043.0,Glanges,456773.0,144815.0,1302787802.0,male
9,maupuy,2011-2012,09/08/2012,21.56,21.56,23,Dist 2 pts,Laurent SOLEIL,LE MAUPUY,Marsac,0.8,0.56,20.22,0.0,LE MAUPUY=>MarsacANTENNE-LE MAUPUY,C,Diamir,20.5,1.1,1708.0,LE MAUPUY,46162.0,184553.0,1344517349.0,Marsac,460905.0,160042.0,1344521141.0,male
10,maupuy,2012-2013,31/03/2013,15.32,18.38,23,triangle,Vincent BOURDET,LE MAUPUY,Les coussières,6.66,2.74,5.93,0.0,LE MAUPUY=>Les coussièresMEYRAT-ANTENNE-Guéret Courtille,C,Avax XC2,6.9,2.2,1509.0,ANTENNE,461667.0,18392.0,1364737743.0,Guéret Courtille,461763.0,185088.0,1364745680.0,male
11,maupuy,2012-2013,09/07/2013,33.51,33.51,23,Dist 2 pts,Vincent BOURDET,LE MAUPUY,Saint-Sulpice-Laurière,1.18,28.86,3.51,0.0,LE MAUPUY=>Saint-Sulpice-LaurièreCourtille-Laurière,C,Avax XC2,25.5,1.3,1663.0,LE MAUPUY,46161.0,183005.0,1373368540.0,Saint-Sulpice-Laurière,460642.0,147028.0,1373373276.0,male
12,maupuy,2012-2013,04/08/2013,65.67,78.81,23,triangle,Christophe DESPLATS,LE MAUPUY,Le Maupuy -Champs de tournesol,28.28,21.86,15.61,0.0,LE MAUPUY=>Le Maupuy -Champs de tournesolLE MAUPUY-Le pré carré-Les chatres,O,Mantra R11,15.8,4.2,1824.0,LE MAUPUY,461524.0,183323.0,1375615544.0,Guéret Courtille,461745.0,184793.0,1375630554.0,male
