,launch,year,date,kms,points,dep,flight type,pilot name,take off,landing,dist1,dist2,dist3,dist4,route,cat,wing,speed,duration,max alt,BD,lat BD,lon BD,time BD,BA,lat BA,lon BA,time BA,sex
0,millau,2000-2001,10/02/2001,20.0,24.0,0,Aller-Retour,Nicolas PUJOL,puncho d'agast millau,puncho d'agast,10.0,10.0,0.0,0.0,puncho d'agast millau=>puncho d'agastrelais de la puncho-combe du chateau de caylus,bi,Biplace inconnu,0.0,0.0,0.0,relais de la puncho,0.0,0.0,0.0,relais de la puncho,0.0,0.0,0.0,male
1,millau,2000-2001,10/02/2001,18.0,21.6,0,Aller-Retour,Bernard DAVIT,MILLAU 12,MILLAU LA PLAGE,9.0,9.0,0.0,0.0,MILLAU 12=>MILLAU LA PLAGEPuncho d'Agast-Rivière sur tarn,K,Boomerang 10,0.0,0.0,0.0,Puncho d'Agast,0.0,0.0,0.0,Puncho d'AGAST,0.0,0.0,0.0,male
2,millau,2000-2001,10/02/2001,20.0,24.0,0,Aller-Retour,Denis DELTOUR,Millau Puncho,Millau Puncho,10.0,10.0,0.0,0.0,Millau Puncho=>Millau PunchoAntenne Puncho-Peyrelade,C,Quarx,0.0,0.0,0.0,Antenne Puncho,0.0,0.0,0.0,Antenne Puncho,0.0,0.0,0.0,male
3,millau,2000-2001,31/03/2001,16.0,16.0,0,Dist libre,Denis DELTOUR,Millau Brunas,Champs au sud du Mas.,0.0,0.0,0.0,0.0,Millau Brunas=>Champs au sud du Mas.,K,Boomerang 10,0.0,0.0,0.0,Millau Brunas,0.0,0.0,0.0,Mas Trinquié,0.0,0.0,0.0,male
4,millau,2000-2001,12/05/2001,77.2,77.2,12,Dist 2 pts,Marc VILLEMAIN,Millau Puncho d'Agast,centre hippique entrée sud de Marvejols,27.9,36.5,12.8,0.0,"Millau Puncho d'Agast=>centre hippique entrée sud de Marvejolsmaison ouest Ferrussac (4 km au S SE de Meyrueis, Gorges de la Jonte)-église de Bramonas sur la N88 entre Mendes et Marvejols",D,Omega 4,0.0,0.0,0.0,Antenne Puncho d'Agast,0.0,0.0,0.0,pont de Pessil (1 km au sud de Marvejols),0.0,0.0,0.0,male
5,millau,2000-2001,20/06/2001,27.8,33.36,12,Aller-Retour,Denis DELTOUR,Puncho d'Agast Millau,Retour à Brunas,13.9,13.9,0.0,0.0,Puncho d'Agast Millau=>Retour à BrunasCaylus-Cabanne FFVL de site de vol libre Brunas,C,Quarx,0.0,0.0,0.0,Antenne Puncho,0.0,0.0,0.0,Pont de Cureplat,0.0,0.0,0.0,male
6,millau,2000-2001,25/06/2001,16.0,19.2,12,Aller-Retour,Jacques BERGER,Millau (Puncho d'Agast),Millau (Millau Plage),8.0,8.0,0.0,0.0,Millau (Puncho d'Agast)=>Millau (Millau Plage)Millau (Puncho d'Agast)-La Cresse,C,Quarx,0.0,0.0,0.0,Millau (Puncho d'Agast),0.0,0.0,0.0,Millau (Puncho d'Agast),0.0,0.0,0.0,male
7,millau,2000-2001,27/07/2001,77.0,92.4,12,triangle,Michael GEORGES,Millau - Puncho d'Agast,Millau - Puncho d'Agast,6.0,38.0,33.0,0.0,Millau - Puncho d'Agast=>Millau - Puncho d'AgastMillau - Puncho d'Agast-Aguessac-Le Caylar ( Plat du Larsac,C,Sigma 4,0.0,0.0,0.0,Millau - Puncho d'Agast,0.0,0.0,0.0,Millau - Puncho d'Agast,0.0,0.0,0.0,male
8,millau,2000-2001,25/07/2001,48.0,48.0,12,Dist 1 pt,Christophe ROBIN,Puncho d'agast Millau,Vallerauque,28.0,20.0,0.0,0.0,Puncho d'agast Millau=>VallerauqueMeyrueis,K,Boomerang 10,0.0,0.0,0.0,Décollage,0.0,0.0,0.0,Vallerauque,0.0,0.0,0.0,male
9,millau,2000-2001,31/07/2001,32.0,32.0,12,Dist libre,Alain HERMITTE,millau brunas,le cailar,0.0,0.0,0.0,0.0,millau brunas=>le cailar,D,Aile inconnue cat D,0.0,0.0,0.0,braunas,0.0,0.0,0.0,le cailar,0.0,0.0,0.0,male
10,millau,2000-2001,12/08/2001,48.5,48.5,12,Dist 1 pt,Jean pierre BORIES,MILLAU,Bord route N106 entrée de FAYET,27.0,21.5,0.0,0.0,MILLAU=>Bord route N106 entrée de FAYETMEYRUIES EGLISE,D,Simba,0.0,0.0,0.0,Antenne PUNCHO d'AGAS,0.0,0.0,0.0,Carrefour sortie de FLORAC N106 D998,0.0,0.0,0.0,male
