,launch,year,date,kms,points,dep,flight type,pilot name,take off,landing,dist1,dist2,dist3,dist4,route,cat,wing,speed,duration,max alt,BD,lat BD,lon BD,time BD,BA,lat BA,lon BA,time BA,sex
0,puy de dome,2000-2001,18/05/2001,29.0,29.0,63,Dist libre,Benjamin DELAY,Puy de Dome,Besse en Chandesse,0.0,0.0,0.0,0.0,Puy de Dome=>Besse en Chandesse,A,Vision,0.0,0.0,0.0,Puy de Dome,0.0,0.0,0.0,Besse en Chandesse,0.0,0.0,0.0,male
1,puy de dome,2000-2001,18/05/2001,122.0,122.0,63,Dist libre,Eric LECORCHE,Puy de Dome 63,VERGNES 12 à coté de LAGUIOLLE,0.0,0.0,0.0,0.0,Puy de Dome 63=>VERGNES 12 à coté de LAGUIOLLE,D,Magic 1,0.0,0.0,0.0,Puy de Dome,0.0,0.0,0.0,Vergnes,0.0,0.0,0.0,male
2,puy de dome,2000-2001,18/05/2001,27.0,27.0,63,Dist libre,Delphine LEROY,Puy de Dôme déco,Saurier,0.0,0.0,0.0,0.0,Puy de Dôme déco=>Saurier,C,Astral,0.0,0.0,0.0,Puy de Dôme déco,0.0,0.0,0.0,Saurier,0.0,0.0,0.0,female
3,puy de dome,2000-2001,18/05/2001,30.0,30.0,63,Dist libre,Rene BELIN,puy de dome,avzolette,0.0,0.0,0.0,0.0,puy de dome=>avzolette,B,Epsilon 3,0.0,0.0,0.0,puy de dome,0.0,0.0,0.0,avzolette,0.0,0.0,0.0,male
4,puy de dome,2000-2001,18/05/2001,30.0,30.0,63,Dist 1 pt,Jacques BERGER,Puy de Dome,Besse en Chandesse,13.0,17.0,0.0,0.0,Puy de Dome=>Besse en ChandesseLac d'Aydat,C,Quarx,0.0,0.0,0.0,Puy de Dome,0.0,0.0,0.0,Besse en Chandesse,0.0,0.0,0.0,male
5,puy de dome,2000-2001,21/06/2001,30.0,30.0,63,Dist libre,Benjamin DELAY,Puy de Dôme,Besse en Chandesse,0.0,0.0,0.0,0.0,Puy de Dôme=>Besse en Chandesse,0,arcus,0.0,0.0,0.0,Puy de Dôme,0.0,0.0,0.0,Besse en Chandesse,0.0,0.0,0.0,male
6,puy de dome,2000-2001,21/06/2001,30.0,30.0,63,Dist libre,Emmanuel DELAY,Puy de Dôme,Besse en Chandesse,0.0,0.0,0.0,0.0,Puy de Dôme=>Besse en Chandesse,A,Vision,0.0,0.0,0.0,Puy de Dôme,0.0,0.0,0.0,Besse en Chandesse,0.0,0.0,0.0,male
7,puy de dome,2000-2001,26/06/2001,17.0,17.0,63,Dist libre,Emmanuel DELAY,Puy de dome,Vernines,0.0,0.0,0.0,0.0,Puy de dome=>Vernines,B,Mistral 2,0.0,0.0,0.0,Puy de dome,0.0,0.0,0.0,lac de Servière,0.0,0.0,0.0,male
8,puy de dome,2000-2001,26/06/2001,17.0,17.0,63,Dist libre,Benjamin DELAY,Puy de dome,Vernines,0.0,0.0,0.0,0.0,Puy de dome=>Vernines,0,arcus,0.0,0.0,0.0,Puy de dome,0.0,0.0,0.0,lac de Servière,0.0,0.0,0.0,male
9,puy de dome,2000-2001,21/06/2001,15.0,15.0,63,Dist libre,Jacques BERGER,Puy de Dome (63),Fohet (63),0.0,0.0,0.0,0.0,Puy de Dome (63)=>Fohet (63),C,Quarx,0.0,0.0,0.0,Puy de Dome (63),0.0,0.0,0.0,Fohet (63),0.0,0.0,0.0,male
10,puy de dome,2000-2001,09/07/2001,28.0,28.0,63,Dist 1 pt,Olivier BOURG,puy de dome Ouest,Pessade,20.0,8.0,0.0,0.0,puy de dome Ouest=>PessadeCol de la croix Morand,O,Hurricane,0.0,0.0,0.0,puy de dome Ouest,0.0,0.0,0.0,Pessade,0.0,0.0,0.0,male
11,puy de dome,2001-2002,31/03/2002,42.0,42.0,63,Dist libre,Jacques BERGER,Puy De Dome (63),Bègues (03),0.0,0.0,0.0,0.0,Puy De Dome (63)=>Bègues (03),C,Quarx,0.0,0.0,0.0,Puy de Dome (63),0.0,0.0,0.0,Bègues (03),0.0,0.0,0.0,male
12,puy de dome,2001-2002,01/04/2002,18.0,18.0,63,Dist libre,Jacques BERGER,Puy de Dome (63),Chateau de Chazeron (63),0.0,0.0,0.0,0.0,Puy de Dome (63)=>Chateau de Chazeron (63),C,Quarx,0.0,0.0,0.0,Puy de Dome (63),0.0,0.0,0.0,Chateau de Chazeron (63),0.0,0.0,0.0,male
13,puy de dome,2001-2002,19/04/2002,81.0,81.0,63,Dist libre,Jerome GAZULL,puy de dome N;O,langeac,0.0,0.0,0.0,0.0,puy de dome N;O=>langeac,C,Futura,0.0,0.0,0.0,antenne puy de dome,0.0,0.0,0.0,langeac,0.0,0.0,0.0,male
14,puy de dome,2001-2002,25/04/2002,101.5,101.5,63,Dist 2 pts,Christian SERGERE,PUY DE DOME,GARABIT,4.3,46.8,50.4,0.0,PUY DE DOME=>GARABITCOL DES GUOULLES-ESPINCHAL,O,P70,0.0,0.0,0.0,PUY DE DOME,0.0,0.0,0.0,GARABIT,0.0,0.0,0.0,male
15,puy de dome,2001-2002,02/06/2002,31.0,31.0,63,Dist libre,Jerome GAZULL,puy de dome sud,"départementale 36 ,1 km sud besse",0.0,0.0,0.0,0.0,"puy de dome sud=>départementale 36 ,1 km sud besse",C,Futura,0.0,0.0,0.0,antenne puy de dome,0.0,0.0,0.0,besse en chandesse,0.0,0.0,0.0,male
16,puy de dome,2001-2002,15/06/2002,50.0,60.0,63,Aller-Retour,Jacques BERGER,Sommet Puy de Dome (63),Atterrissage Taillerie Puy de Dome(63),25.0,25.0,0.0,0.0,Sommet Puy de Dome (63)=>Atterrissage Taillerie Puy de Dome(63)Lac d'Aydat (63)-Usine embouteillage de Volvic (63),C,Quarx,0.0,0.0,0.0,Antenne Puy de Dome(63),0.0,0.0,0.0,Antenne Puy de Dome(63),0.0,0.0,0.0,male
17,puy de dome,2001-2002,23/07/2002,21.0,21.0,63,Dist libre,Delphine LEROY,Puy de Dôme,Saint Nectaire,0.0,0.0,0.0,0.0,Puy de Dôme=>Saint Nectaire,K,Boomerang 10,0.0,0.0,0.0,Puy de Dôme,0.0,0.0,0.0,Saint Nectaire,0.0,0.0,0.0,female
18,puy de dome,2001-2002,18/07/2002,105.0,105.0,63,Dist libre,Olivier BOURG,Puy de Dome,Le Dat,0.0,0.0,0.0,0.0,Puy de Dome=>Le Dat,O,Hurricane,0.0,0.0,0.0,Puy de Dome,0.0,0.0,0.0,Le Dat (village au sud est d'Aurillac - 15),0.0,0.0,0.0,male
19,puy de dome,2001-2002,28/07/2002,36.0,36.0,63,Dist libre,Elodie LAFFAIRE,PUY DE DOME NORD,Le Cabaret ( pres de Compains 63 ),0.0,0.0,0.0,0.0,PUY DE DOME NORD=>Le Cabaret ( pres de Compains 63 ),C,Sigma 4,0.0,0.0,0.0,Puy de Dome,0.0,0.0,0.0,Le Cabaret ( pres de Compains 63 ),0.0,0.0,0.0,female
20,puy de dome,2001-2002,28/07/2002,97.0,97.0,63,Dist libre,Guillaume DE-VAULX,Puy de Dôme,Moulinges,0.0,0.0,0.0,0.0,Puy de Dôme=>Moulinges,C,Sigma 3,0.0,0.0,0.0,Antenne Puy de Dôme,0.0,0.0,0.0,Hameau de Moulinges,0.0,0.0,0.0,male
21,puy de dome,2002-2003,22/04/2003,102.0,102.0,63,Dist libre,Eric LECORCHE,Puy de dôme 63,la baconnaille 23,0.0,0.0,0.0,0.0,Puy de dôme 63=>la baconnaille 23,D,Magic 1,0.0,0.0,0.0,puy de dome,0.0,0.0,0.0,la baconaille 23,0.0,0.0,0.0,male
22,puy de dome,2002-2003,01/05/2003,19.0,19.0,63,Dist libre,Bernard AMBRE,PUY DE DOME,LOUBEYRAT,0.0,0.0,0.0,0.0,PUY DE DOME=>LOUBEYRAT,C,Astral,0.0,0.0,0.0,-,0.0,0.0,0.0,-,0.0,0.0,0.0,male
23,puy de dome,2002-2003,23/04/2003,59.0,59.0,63,Dist 2 pts,Jean-yves FIGON,puy de dome,ussel,8.0,13.0,38.0,0.0,puy de dome=>usselmazaye-heume l'eglise,B,Vibe,0.0,0.0,0.0,deco est puy de dome,0.0,0.0,0.0,sortie ussel,0.0,0.0,0.0,male
24,puy de dome,2002-2003,01/05/2003,39.0,39.0,63,Dist 1 pt,Jean-yves FIGON,puy de dome,menat,23.5,15.5,0.0,0.0,puy de dome=>menatgour de tazenat,B,Vibe,0.0,0.0,0.0,deco sud puy de dome,0.0,0.0,0.0,chateau gaillard,0.0,0.0,0.0,male
25,puy de dome,2002-2003,01/05/2003,21.0,21.0,63,Dist libre,Laurent COUTAREL,puy de dome,prompsat,0.0,0.0,0.0,0.0,puy de dome=>prompsat,O,X-act,0.0,0.0,0.0,puy de dome,0.0,0.0,0.0,prompsat,0.0,0.0,0.0,male
26,puy de dome,2002-2003,21/04/2003,20.0,20.0,63,Dist libre,Fabien DUGAT,PUY DE DOME,JOLLERE,0.0,0.0,0.0,0.0,PUY DE DOME=>JOLLERE,C,P42,0.0,0.0,0.0,antenne,0.0,0.0,0.0,village,0.0,0.0,0.0,male
27,puy de dome,2002-2003,15/05/2003,84.0,84.0,63,Dist libre,Olivier BOURG,Puy de Dome,Egleton,0.0,0.0,0.0,0.0,Puy de Dome=>Egleton,O,Mystic,0.0,0.0,0.0,Pyu de Dome,0.0,0.0,0.0,Barriere de péage Egleton,0.0,0.0,0.0,male
28,puy de dome,2002-2003,15/05/2003,93.0,93.0,63,Dist 1 pt,Eric LECORCHE,PUY DE DOME 63,CEYRAT 19 ( 10 Km au sud EGLETON ),66.0,27.0,0.0,0.0,PUY DE DOME 63=>CEYRAT 19 ( 10 Km au sud EGLETON )ST ANGEL 19,D,Magic 1,0.0,0.0,0.0,PETIT PUY DE DOME 63,0.0,0.0,0.0,CEYRAT 19,0.0,0.0,0.0,male
29,puy de dome,2002-2003,16/05/2003,45.0,45.0,63,Dist 1 pt,Jean-yves FIGON,PUY DE DOME,BIOZAT,21.5,23.5,0.0,0.0,PUY DE DOME=>BIOZATCHATEL GUYON,B,Vibe,0.0,0.0,0.0,LACHAMPS,0.0,0.0,0.0,BIOZAT,0.0,0.0,0.0,male
30,puy de dome,2002-2003,15/05/2003,70.4,70.4,63,Dist libre,Thierry CHEVALIER,puy de dome,bonnessagne,0.0,0.0,0.0,0.0,puy de dome=>bonnessagne,D,Magic 1,0.0,0.0,0.0,petit puy de dome,0.0,0.0,0.0,bonnessagne communeCombressol,0.0,0.0,0.0,male
31,puy de dome,2002-2003,06/07/2003,21.0,21.0,63,Dist libre,Fabien DUGAT,Puy de Dôme,bord de la D5,0.0,0.0,0.0,0.0,Puy de Dôme=>bord de la D5,C,P42,0.0,0.0,0.0,atterrissage de la taillerie,0.0,0.0,0.0,village de Beaune le Froid,0.0,0.0,0.0,male
32,puy de dome,2002-2003,06/07/2003,34.0,34.0,63,Dist 1 pt,Elodie LAFFAIRE,Puy de Dome Nord,Entre Puy Combegrasse et Puy de l'enfer au carrefour D989 et D788,23.5,10.5,0.0,0.0,Puy de Dome Nord=>Entre Puy Combegrasse et Puy de l'enfer au carrefour D989 et D788Sud Est Lac Chambon (Jassat),C,Sigma 4,0.0,0.0,0.0,Puy de Dome Nord,0.0,0.0,0.0,Entre Puy Combegrasse et Puy de l'enfer au carrefour D989 et D788,0.0,0.0,0.0,female
